analysis,dataset,setting,n,correct,accuracy_pct,avg_rounds,avg_total_tokens,avg_additional_tokens,avg_api_calls
agent_count,gsm8k,2,100,88,88.0,2.08,4731.4,4282.7,7.32
agent_count,gsm8k,3,100,88,88.0,2.05,5802.8,5129.4,9.25
agent_count,gsm8k,4,100,86,86.0,2.12,7513.8,6615.4,11.72
agent_count,math,2,100,64,64.0,2.18,5309.2,4846.5,7.72
agent_count,math,3,100,65,65.0,2.17,6817.3,6122.9,9.85
agent_count,math,4,99,64,64.65,2.273,9191.7,8268.1,12.64
agent_count,multiarith,2,100,93,93.0,2.11,4766.8,4394.1,7.44
agent_count,multiarith,3,100,96,96.0,2.09,5853.3,5294.2,9.45
agent_count,multiarith,4,100,98,98.0,2.09,7031.5,6285.9,11.54
agent_count,svamp,2,100,88,88.0,2.07,4063.6,3697.9,7.28
agent_count,svamp,3,100,89,89.0,2.11,5214.2,4665.7,9.55
agent_count,svamp,4,100,91,91.0,2.11,6278.9,5547.7,11.66
max_round,gsm8k,2,100,84,84.0,2.0,5584.7,4911.2,9.0
max_round,gsm8k,3,100,88,88.0,2.05,5814.2,5140.7,9.25
max_round,gsm8k,4,100,88,88.0,2.05,5814.2,5140.7,9.25
max_round,gsm8k,5,100,88,88.0,2.05,5814.2,5140.7,9.25
max_round,gsm8k,6,100,88,88.0,2.05,5814.2,5140.7,9.25
max_round,gsm8k,7,100,88,88.0,2.05,5814.2,5140.7,9.25
max_round,math,2,100,64,64.0,2.0,5890.8,5196.4,9.0
max_round,math,3,100,67,67.0,2.09,6358.1,5663.7,9.45
max_round,math,4,100,67,67.0,2.1,6417.6,5723.3,9.5
max_round,math,5,100,68,68.0,2.11,6480.8,5786.4,9.55
max_round,math,6,100,68,68.0,2.12,6531.9,5837.5,9.6
max_round,math,7,100,68,68.0,2.13,6583.0,5888.6,9.65
max_round,multiarith,2,100,91,91.0,2.0,5457.2,4898.1,9.0
max_round,multiarith,3,100,95,95.0,2.07,5769.4,5210.4,9.35
max_round,multiarith,4,100,95,95.0,2.09,5855.0,5296.0,9.45
max_round,multiarith,5,100,95,95.0,2.09,5855.0,5296.0,9.45
max_round,multiarith,6,100,95,95.0,2.09,5855.0,5296.0,9.45
max_round,multiarith,7,100,95,95.0,2.09,5855.0,5296.0,9.45
max_round,svamp,2,100,83,83.0,2.0,4767.9,4219.4,9.0
max_round,svamp,3,100,88,88.0,2.09,5124.5,4576.0,9.45
max_round,svamp,4,100,88,88.0,2.09,5124.5,4576.0,9.45
max_round,svamp,5,100,88,88.0,2.09,5124.5,4576.0,9.45
max_round,svamp,6,100,88,88.0,2.09,5124.5,4576.0,9.45
max_round,svamp,7,100,88,88.0,2.09,5124.5,4576.0,9.45
